sentences,review_ids,type,product_id
"I've only owned a few capos, but this is, by far, the best capo I've ever owned.",R3OX5OOAN3XRKH,positives,B00L2M52DK
"Seemed to eliminate a lot of the fret buzz I was experiencing with other capos, plus it just looks so darn classy on my uke.",R1HL24JJUN3I53,positives,B00L2M52DK
High quality in both wight and appearance.,R21TQEETJF3AV1,positives,B00L2M52DK
"Love it, would buy as a gift for sure.",RBHYU4CZK6FLT,positives,B00L2M52DK
Bought this as a gift for my stepfather for Father's Day and he absolutely loves it.,R3OY7DJKJZS1BT,positives,B00L2M52DK
really nicer looking than others and works well not hard to move  well made,R45RZU2HP7P8C,positives,B00L2M52DK
Awesome capo.  ,RAUR3PB2JTEGV,positives,B00L2M52DK
The kid uses it for her electric guitar and loves it!,R3SG71JCDIX4M7,positives,B00L2M52DK
"Just purchased a gift, husband so far very pleased with performance.  ",R2JLQAHEWSGMTP,positives,B00L2M52DK
Fantastic capo!,R89AWAFZJ6T1N,positives,B00L2M52DK
"Toxic packaging smell, made in China.",R24LZVD5IH1SFI,negatives,B00L2M52DK
"Very well made capo, I'm glad I finally decided to replace my old fabric wrap-around.",RKOQMC0J3MGFT,benchmark,B00L2M52DK
Makes my guitar sound amazing.,RH1A7I2MSMXUF,benchmark,B00L2M52DK
The quality is excellent.,R2JA1CI4BU5KJD,benchmark,B00L2M52DK
Wonderful product  works great looks great.,RNZ4FH20MUJ3B,benchmark,B00L2M52DK
We received this on time and very happy with the product.,R150KD468XIYH8,benchmark,B00L2M52DK
It's just what he wanted and works wonderful.,R11QIOUWZHSGHS,benchmark,B00L2M52DK
"A little large, but it grips well on the first grab with strings ringing out on first try/position.",R75XRE4E924AE,benchmark,B00L2M52DK
I use this capo on both electric and acoustic guitars.  ,R1CF0TP01HAFTA,benchmark,B00L2M52DK
I highly recommend it.,R1V6LE27LXKDBS,benchmark,B00L2M52DK
"When it comes to capos,  I believe that a guitar/ukulele player can never have too many good ones.",R3PM3LFFH520RH,benchmark,B00L2M52DK
"It is a very nice capo, with good construction and would work undoubtedly well on a more standard guitar with a medium to heavy guage string.",R2AZHAATPVJIEQ,benchmark,B00L2M52DK
My 15 month old grandson loves the piano!,R3ER6Y6EO30FBU,positives,B002UUY26Q
"Oh and she does love it, so that says a lot.",R1HPUIPEACO101,positives,B002UUY26Q
"My granddaughter can't keep her hands of of it,she just loves it.",RV0RFSWDOZ9QK,positives,B002UUY26Q
This is just the cutest thing.,R33ZZ4C6IPZG25,positives,B002UUY26Q
My daughter will be so happy for Easter !,RNVG20Z5O33SJ,positives,B002UUY26Q
"I give this a 10 star, beautiful gift for my one year old granddaughter, she's been on it for hours.",R1ZVINACQ6NABP,positives,B002UUY26Q
I am pleased with my purchase.,R13196KBC9ZA5C,positives,B002UUY26Q
The design and quality is great,R2WRUADZJANG8I,positives,B002UUY26Q
"Considering the price, you really have nothing to complain about.",R29RJDVOAL732S,positives,B002UUY26Q
"Last the thing smelled absolutely toxic when I opened the box, this has improved over about a week but you can still smell the lacquer or paint or whatever china put on it(probably lead paint...)  ",RAY1LJQNX70PQ,negatives,B002UUY26Q
The legs are not like this and it is a different brand.,RM5YVA04WGC54,negatives,B002UUY26Q
"This piano is really cute, but as a piano player the keys are way off and it sounds awful.",R1BNHQFE55UJNX,negatives,B002UUY26Q
You cannot return it once it is opened,R22II6E5SI7SUK,negatives,B002UUY26Q
I would have baught something else if I knew this fact.,R2U01HPJF85IWO,negatives,B002UUY26Q
It's got big black holes on top with nothing to put in them.,RE5KCNXQ4NHCX,negatives,B002UUY26Q
Saying it sounds out of tune is an understatement.,R1CKFFLU1J9BPW,negatives,B002UUY26Q
piano itself very sturdy<,R38UB41ZJZOJOA,benchmark,B002UUY26Q
"The sound is a little tinny, but my daughter absolutely loves it.",R3DYA8QU00C86P,benchmark,B002UUY26Q
We bought this for our daughter's 1st birthday.,R33ZZ4C6IPZG25,benchmark,B002UUY26Q
We are told they and parents love it.,R7VR5SKOWUIQF,benchmark,B002UUY26Q
The only thing I would like to mention is the sound.,R29RJDVOAL732S,benchmark,B002UUY26Q
it was sent as a gift to 2 year old twins.,R7VR5SKOWUIQF,benchmark,B002UUY26Q
The little bench/stool topples over or slides out from under my kids.,R1VNIQA0WW94UE,benchmark,B002UUY26Q
my 2 year old granddaughter loves it...,R3341YCFZIQ8OD,benchmark,B002UUY26Q
"Considering the price, you really have nothing to complain about.",R29RJDVOAL732S,benchmark,B002UUY26Q
The sound of the piano is not like a real piano eventhough,R2U01HPJF85IWO,benchmark,B002UUY26Q
"The sound is not good at all, i understand a tiny piano will not sound like a large piano",RAY1LJQNX70PQ,benchmark,B002UUY26Q
the first time screws for the legs were missing.  ,RWP1UWSA8Y8O1,benchmark,B002UUY26Q
so it looks like my daughter is going to fall off.,RE5KCNXQ4NHCX,benchmark,B002UUY26Q
"This was stated as, use for 7 year olds and up.",R3ITRVWABUSSCD,benchmark,B002UUY26Q
"but this is bad, and no way to open to tune or replace a string if it breaks.  ",RAY1LJQNX70PQ,benchmark,B002UUY26Q
"I bought it because it is actual keys on strings, but would recommend getting an electronic piano for the sound and deal with a slightly less &#34;authentic&#34; look.",RAY1LJQNX70PQ,benchmark,B002UUY26Q
My guitar has never looked better with the application of these dunlop products.,R6STP20FURB0W,positives,B0002E1H9W
It did a wonderful job on my guitars.  ,R278S10KQ0AQ20,positives,B0002E1H9W
I love it for this utilities do a great job.,R17UA2A8HTIQC8,positives,B0002E1H9W
I have 12 guitars and have been using Dunlop guitar cleaners for about a year with no complaints.,R29YJ3Y5FH87EG,positives,B0002E1H9W
Very nice kit and a must for any guitarist.,R1EORFMYKBXGUW,positives,B0002E1H9W
"I got him this, and he was very pleased with how shiny it made his guitar.",R1B7SJW0T7DKD,positives,B0002E1H9W
Made a great gift and my brother has gotten lots of use out of it.,R1DI0MWQLSV9ZA,positives,B0002E1H9W
AWESOME AWESOME AWESOME....,RFJJLYS2K2KA9,positives,B0002E1H9W
He didn't waste any time cleaning his guitars!,R1SGMX2ECK8QDA,positives,B0002E1H9W
"You wrote that I should get manual, and another items, and I didn't.",R1O3S8N88CVZYR,negatives,B0002E1H9W
Did not attempt to return product.,RKVN2SKJ2L10U,negatives,B0002E1H9W
"If you like yellow strings of cotton balled up all over your guitar, then you will love these; otherwise, you will put them right into the trash where they belong.",R23I3PEGUP3VBR,negatives,B0002E1H9W
but when you look at the fine writing on the fingerboard formula it says not to use on Maple; which means I can't use it on either of my Gibsons.  ,R2JWJ926B3TBIO,negatives,B0002E1H9W
The odd thing to me is in the directions it says do not get into scratches and or cracks in the finish...,R1I43RPPB8SKRN,negatives,B0002E1H9W
